FID;GW_NUMMER;NAME;RECHTSWERT;HOCHWERT;GEMEINDE_K;AQUIFER_KZ;EINZUGSGEB;HYDROGEOLE;HYDROGEOL2;MESSNETZ1_;MESSNETZ2_;GEMEINDE;AQUIFER;EINZUGSGE2;HYDROGEOL3;MESSNETZ1;MESSNETZ2;RASTERVALU
1002;163/020-0;TB B4 FEW, HAUSEN;3399180,000000000000000;5313560,000000000000000;8315006,000000000000000;4,000000000000000;2336600000,000000000000000;3,000000000000000;8,000000000000000; ; ;BAD KROZINGEN;QUARTÄR EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);"Seltenbach;";Quartäre Kiese und Sande (GWL);#800000000014; ;211
1003;163/172-8;WASSERWERK ALBTAL GWV HOECH.EL.TB III;3434549,000000000000000;5285719,000000000000000;8337051,000000000000000;91,000000000000000;2312500000,000000000000000;50,000000000000000;18,000000000000000; ; ;HÖCHENSCHWAND;KRISTALLIN (SCHWARZWALD);Hauensteiner Alb unterh. Steinenbächle oberh. Ibach;Paläozoikum, Kristallin (GWG);#800000000014; ;312
1004;163/173-0;QF 1 RIHBACH, LAUFENBURG;3430290,000000000000000;5275270,000000000000000;8337066,000000000000000;91,000000000000000;2313110000,000000000000000;50,000000000000000;18,000000000000000; ; ;LAUFENBURG (BADEN), STADT;KRISTALLIN (SCHWARZWALD);Rhein oberhalb von Etzgerbach;Paläozoikum, Kristallin (GWG);#800000000014; ;231
1005;163/422-6;GWM C4 BEUREN, SINGEN;3490040,000000000000000;5295440,000000000000000;8335075,000000000000000;5,000000000000000;2172100000,000000000000000;4,000000000000000;65,000000000000000; ; ;SINGEN (HOHENTWIEL), STADT;QUARTÄR EISZEITL.KIESE+SANDE (ALBSÜDRAND, ALPENV.);"Radolfzeller Aach; oberhalb von Saubach";Quartäre Kiese und Sande unter Moränensedimenten (GWL);#800000000012;#800000000001;231
1006;163/514-0;GWM HEGELSGRABEN, METZINGEN;3519610,000000000000000;5379540,000000000000000;8415050,000000000000000;2,000000000000000;2381767000,000000000000000;3,000000000000000;16,000000000000000; ; ;METZINGEN, STADT;QUARTÄR TALFÜLLUNGEN;"Erms unterh. Glemsbach oberh. Steidenbach;";Quartäre Kiese und Sande (GWL);#800000000012; ;112
1007;163/559-8;SBR TALSTR. 8,SULZBACH;3536530,000000000000000;5429260,000000000000000;8119075,000000000000000;2,000000000000000;2383817000,000000000000000;27,000000000000000;127,000000000000000; ; ;SULZBACH AN DER MURR;QUARTÄR TALFÜLLUNGEN;Murr unterh. Haselbach oberh. Fischbach;Unterkeuper und Gipskeuper (GWL);#800000000017; ;112
1008;163/568-9;GWM B1 DONAUWIESEN, RIEDLG.;3536575,000000000000000;5336190,000000000000000;8426097,000000000000000;5,000000000000000;1133529000,000000000000000;3,000000000000000;157,000000000000000; ; ;RIEDLINGEN, STADT;QUARTÄR EISZEITL.KIESE+SANDE (ALBSÜDRAND, ALPENV.);Schwarzach unterhalb von Sodenbach;Quartäre Kiese und Sande (GWL);#800000000013;#800000000001;231
1009;163/617-2;QF 1 ZUGENWIESE, OBERWILZ.;3537570,000000000000000;5346215,000000000000000;8415034,000000000000000;22,000000000000000;1134900000,000000000000000;8,000000000000000;35,000000000000000; ; ;HAYINGEN, STADT;TERTIÄR (ALBSÜDRAND UND ALPENVORLAND);Große Lauter unterhalb von Dolderbach;übrige Molasse (GWG);#800000000012; ;211
1010;163/669-2;GWM 23N, APPENDORF;3559260,000000000000000;5323130,000000000000000;8426058,000000000000000;5,000000000000000;1136190000,000000000000000;3,000000000000000;157,000000000000000; ; ;HOCHDORF;QUARTÄR EISZEITL.KIESE+SANDE (ALBSÜDRAND, ALPENV.);Riß unterh. Federbach oberh. Umlach;Quartäre Kiese und Sande (GWL);#800000000019;#800000000001;211
1011;163/771-0;GWM 15/83, LEUTKIRCH;3576080,000000000000000;5298650,000000000000000;8436055,000000000000000;5,000000000000000;1146299000,000000000000000;3,000000000000000;171,000000000000000; ; ;LEUTKIRCH IM ALLGÄU, STADT;QUARTÄR EISZEITL.KIESE+SANDE (ALBSÜDRAND, ALPENV.);Eschach unterhalb von Stadtbach;Quartäre Kiese und Sande (GWL);#800000000013;#800000000001;112
