Datetime[UTC],BLM-1[m],Baro[m]
29/06/2009 17:15,5.15138194,9.51458572
29/06/2009 17:30,5.15191418,9.51483547
29/06/2009 17:45,5.15537478,9.5144654
29/06/2009 18:00,5.15903225,9.51276105
29/06/2009 18:15,5.16338929,9.51053227
29/06/2009 18:30,5.16557168,9.50911585
29/06/2009 18:45,5.16895143,9.50786372
29/06/2009 19:00,5.17128006,9.50552791
29/06/2009 19:15,5.17445873,9.50385592
29/06/2009 19:30,5.17608849,9.50252662
29/06/2009 19:45,5.17849516,9.50153422
29/06/2009 20:00,5.18111909,9.49960997
29/06/2009 20:15,5.18193397,9.49783094
29/06/2009 20:30,5.18604915,9.49339082
29/06/2009 20:45,5.18783921,9.49071065
29/06/2009 21:00,5.19069938,9.49142094
29/06/2009 21:15,5.18599009,9.49325225
29/06/2009 21:30,5.18875253,9.49055466
29/06/2009 21:45,5.19010386,9.48842214
29/06/2009 22:00,5.19024448,9.48699328
29/06/2009 22:15,5.19164503,9.48585067
29/06/2009 22:30,5.19175261,9.48515201
29/06/2009 22:45,5.19036401,9.48439775
29/06/2009 23:00,5.1911367,9.48206774
29/06/2009 23:15,5.1889522,9.48162547
29/06/2009 23:30,5.19054048,9.48000908
29/06/2009 23:45,5.19123865,9.47770064
30/06/2009 00:00,5.19048072,9.47500554
30/06/2009 00:15,5.19155504,9.47540135
30/06/2009 00:30,5.19203244,9.47250544
30/06/2009 00:45,5.19276646,9.47150805
30/06/2009 01:00,5.19332682,9.47077537
30/06/2009 01:15,5.19388086,9.46896231
30/06/2009 01:30,5.1941178,9.46939793
30/06/2009 01:45,5.19378383,9.4696643
30/06/2009 02:00,5.19425842,9.46988087
30/06/2009 02:15,5.19388086,9.46999953
30/06/2009 02:30,5.194141,9.4704086
30/06/2009 02:45,5.1938225,9.47130807
30/06/2009 03:00,5.19501283,9.47341405
30/06/2009 03:15,5.19572998,9.47320245
30/06/2009 03:30,5.19708272,9.47306637
30/06/2009 03:45,5.19841227,9.47326551
30/06/2009 04:00,5.19920887,9.47473753
30/06/2009 04:15,5.1997854,9.4760353
30/06/2009 04:30,5.20079714,9.47714388
30/06/2009 04:45,5.20161554,9.47896108
30/06/2009 05:00,5.20230878,9.47965476
30/06/2009 05:15,5.20461773,9.47917931
30/06/2009 05:30,5.2058868,9.47927805
30/06/2009 05:45,5.20699979,9.48018166
30/06/2009 06:00,5.20878986,9.47866401
30/06/2009 06:15,5.20988246,9.47951204
30/06/2009 06:30,5.21050258,9.47976927
30/06/2009 06:45,5.21075921,9.48024141
30/06/2009 07:00,5.21056024,9.48000908
30/06/2009 07:15,5.21101584,9.48039823
30/06/2009 07:30,5.21183142,9.48026797
30/06/2009 07:45,5.21151292,9.47881171
30/06/2009 08:00,5.21109458,9.47896357
30/06/2009 08:15,5.21044071,9.47706172
30/06/2009 08:30,5.21042173,9.47618797
30/06/2009 08:45,5.20934952,9.47515656
30/06/2009 09:00,5.2071608,9.47552747
30/06/2009 09:15,5.20618773,9.47584694
30/06/2009 09:30,5.20306461,9.47549013
30/06/2009 09:45,5.19950838,9.4762054
30/06/2009 10:00,5.19791588,9.47444876
30/06/2009 10:15,5.1937993,9.47712811
30/06/2009 10:30,5.18950764,9.47982238
30/06/2009 10:45,5.19094054,9.47292531
30/06/2009 11:00,5.18410159,9.47719781
30/06/2009 11:15,5.18004688,9.47976927
30/06/2009 11:30,5.17424007,9.48245525
30/06/2009 11:45,5.17308419,9.48162547
30/06/2009 12:00,5.16837771,9.48024141
30/06/2009 12:15,5.1656905,9.47917931
30/06/2009 12:30,5.16129971,9.48245525
30/06/2009 12:45,5.15724359,9.48312653
30/06/2009 13:00,5.15366557,9.48515201
30/06/2009 13:15,5.14958836,9.48813172
30/06/2009 13:30,5.14595269,9.48952989
30/06/2009 13:45,5.14193594,9.4925818
30/06/2009 14:00,5.14150073,9.49142094
30/06/2009 14:15,5.13833753,9.49339082
30/06/2009 14:30,5.13565454,9.49605357
30/06/2009 14:45,5.13372245,9.49712646
30/06/2009 15:00,5.13231417,9.499449
30/06/2009 15:15,5.13137906,9.50052521
30/06/2009 15:30,5.12942798,9.50235569
30/06/2009 15:45,5.13213277,9.50066461
30/06/2009 16:00,5.1316392,9.50180805
30/06/2009 16:15,5.13252931,9.50337548
30/06/2009 16:30,5.13388557,9.50194911
30/06/2009 16:45,5.13301022,9.50257226
30/06/2009 17:00,5.13825808,9.50168025
30/06/2009 17:15,5.14330556,9.49719616
30/06/2009 17:30,5.1432029,9.50102473
30/06/2009 17:45,5.14589222,9.50004975
30/06/2009 18:00,5.14897316,9.49913783
30/06/2009 18:15,5.15340894,9.4989362
30/06/2009 18:30,5.15684424,9.49753803
30/06/2009 18:45,5.16092145,9.49636473
30/06/2009 19:00,5.16521521,9.49401481
30/06/2009 19:15,5.1688319,9.49169394
30/06/2009 19:30,5.17250836,9.49057375
30/06/2009 19:45,5.17674306,9.48897477
30/06/2009 20:00,5.1799843,9.48680077
30/06/2009 20:15,5.18447985,9.48445417
30/06/2009 20:30,5.18817388,9.48293651
30/06/2009 20:45,5.19014464,9.48351902
30/06/2009 21:00,5.19354408,9.48176404
30/06/2009 21:15,5.19416069,9.4814255
30/06/2009 21:30,5.1971221,9.48253242
30/06/2009 21:45,5.19858944,9.48018166
30/06/2009 22:00,5.20115712,9.47980495
30/06/2009 22:15,5.2027672,9.47840264
30/06/2009 22:30,5.20461773,9.47535239
30/06/2009 22:45,5.20630585,9.47318088
30/06/2009 23:00,5.20821614,9.47239507
30/06/2009 23:15,5.20948873,9.47023104
30/06/2009 23:30,5.20956607,9.4668497
30/06/2009 23:45,5.21107701,9.46562412
1/07/2009 00:00,5.21224835,9.46369823
1/07/2009 00:15,5.21229054,9.46241541
1/07/2009 00:30,5.21320385,9.45984891
1/07/2009 00:45,5.21236928,9.45993106
1/07/2009 01:00,5.21203461,9.45894695
1/07/2009 01:15,5.21334025,9.45917513
1/07/2009 01:30,5.21149324,9.45778277
1/07/2009 01:45,5.21196641,9.45790974
1/07/2009 02:00,5.20984309,9.4583271
1/07/2009 02:15,5.2094817,9.4601493
1/07/2009 02:30,5.20950771,9.46034678
1/07/2009 02:45,5.20789694,9.46074756
1/07/2009 03:00,5.20682262,9.46007295
1/07/2009 03:15,5.20749547,9.46299956
1/07/2009 03:30,5.20699698,9.46364513
1/07/2009 03:45,5.20559221,9.4653445
1/07/2009 04:00,5.20517598,9.46551543
1/07/2009 04:15,5.20576236,9.46720734
1/07/2009 04:30,5.20515208,9.47031732
1/07/2009 04:45,5.20491373,9.46970163
1/07/2009 05:00,5.20543191,9.47077702
1/07/2009 05:15,5.20467538,9.47176694
1/07/2009 05:30,5.20620671,9.47165907
1/07/2009 05:45,5.20801646,9.46993729
1/07/2009 06:00,5.20867244,9.47302322
1/07/2009 06:15,5.20968489,9.47054966
1/07/2009 06:30,5.21032119,9.47165907
1/07/2009 06:45,5.20962021,9.47648255
1/07/2009 07:00,5.20906758,9.47630746
1/07/2009 07:15,5.21184548,9.47710985
1/07/2009 07:30,5.20825481,9.48013686
1/07/2009 07:45,5.20807693,9.47970289
1/07/2009 08:00,5.20634592,9.48281288
1/07/2009 08:15,5.20536933,9.48307011
1/07/2009 08:30,5.20749758,9.48161717
1/07/2009 08:45,5.20807693,9.48071107
1/07/2009 09:00,5.20674035,9.48091435
1/07/2009 09:15,5.20280517,9.48176986
1/07/2009 09:30,5.20264908,9.48012359
1/07/2009 09:45,5.2027672,9.47935604
1/07/2009 10:00,5.20072121,9.48040571
1/07/2009 10:15,5.19529125,9.48349993
1/07/2009 10:30,5.19401937,9.48325764
1/07/2009 10:45,5.18936913,9.48547977
